samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
clinic,NA,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Highland Park,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Licton Springs,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,Wedgwood/View Ridge,5,5,5.963525504,2.100350736,2.877312571,5.624824491,10.9981849,5.004278817
clinic,Whittier Heights,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Montlake/Portage Bay,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,Miller Park,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,First Hill,13,13,11.88475019,3.18635654,6.848886199,11.47931534,19.24338402,10.70970689
clinic,Columbia City,24,24,21.14805011,4.396692985,13.83439413,20.70529011,30.99250638,19.84762163
clinic,Roxhill/Westwood,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Broadview/Bitter Lake,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Ravenna/Bryant,12,12,11.09265703,3.061763924,6.286501178,10.6927882,18.19048708,9.93587864
clinic,Laurelhurst/Sand Point,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Capitol Hill,4,4,5.312146815,1.949558001,2.48427846,4.986879936,10.01270037,4.395006409
clinic,Greenwood/Phinney Ridge,13,13,11.88475019,3.18635654,6.848886199,11.47931534,19.24338402,10.70970689
clinic,Haller Lake,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,North Beach/Blue Ridge,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Green Lake,5,5,5.963525504,2.100350736,2.877312571,5.624824491,10.9981849,5.004278817
clinic,Ballard,0,0,3.016728453,1.322285806,1.214701059,2.762933258,6.286108111,2.317633995
clinic,Fremont,11,11,10.31249244,2.934209918,5.740209512,9.918779857,17.14203112,9.176144228
clinic,Magnolia,1,1,3.537314834,1.481153244,1.483888012,3.262793454,7.176025159,2.776192083
clinic,Madison Park,3,3,4.688499735,1.795730327,2.119946918,4.378312876,9.044531862,3.818347867
clinic,North Capitol Hill,2,2,4.095753616,1.639343093,1.785997529,3.802445125,8.097419434,3.27744762
clinic,Cascade/Eastlake,22,22,19.40691356,4.195201023,12.47685676,18.96874756,28.84220349,18.12207488
clinic,Downtown Commercial Core,25,25,22.02556503,4.494886426,14.52451042,21.58073843,32.06891938,20.71817442
clinic,Duwamish/SODO,6,6,6.639749949,2.247838915,3.297267904,6.289092501,11.99799093,5.642412812
